,Amelia - transcript.txt,Anne - transcript.txt,Blair - transcript.txt,Hallie - transcript.txt,Julie - transcript.txt,Mike - transcript.txt,Simone - transcript.txt,Taylor - transcript.txt,Wallace - transcript.txt
● 1a-modality-offline,1597,3742,2597,5414,4501,1788,3143,899,1996
● 1b-modality-online_grad_school,90,88,0,538,0,183,252,222,412
● 1c-modality-social_media,1330,2256,1448,1721,2927,2323,981,864,1288
● 2a-reasons-lack_of_resources,848,1695,228,520,736,0,54,0,0
● 2b-reasons-school_resources_available,0,1063,0,2318,808,2319,1031,0,0
● 2c-reasons-teacher_capital,332,0,1129,0,0,0,0,174,1289
● 2d-reasons-change,1181,2246,228,224,1895,0,306,0,1373
● 2e-reasons-two_worlds_pitfall,0,690,0,3009,1985,0,761,0,0
● 2f-reasons-personal_professional_boundaries,56,392,540,919,814,291,1204,330,264
● 2g-reasons-connecting,1893,1675,1736,758,382,1175,1076,548,1116
● 2h-reasons-planning,2009,1377,1383,6225,3731,3378,2223,1067,1178
● 2i-reasons-enacting_practice,1584,2599,2588,3819,3717,4208,1443,1196,1463
● 3a-supports-assigned_and_appreciated,1076,461,1348,3895,1358,538,2245,819,752
● 3b-supports-assigned_but_unhelpful,0,2148,0,96,2228,893,536,0,22
● 3c-supports-latent,687,686,885,348,1403,420,415,508,442
● 3d-supports-self_directed,1254,1400,917,3099,2332,2611,1180,689,1701
● 4a-connections-in_school,1189,2888,3038,3963,4023,476,3106,761,2172
● 4b-connections-out_of_school,1561,2235,1167,3416,2256,2878,1109,1072,1272
● 5a-engagement-consumer,962,2634,1066,4374,4883,1217,2362,1104,1100
● 5b-engagement-vocationalist,1514,659,1983,2460,1396,1696,1840,786,1522
