,Amelia - transcript.txt,Anne - transcript.txt,Blair - transcript.txt,Hallie - transcript.txt,Julie - transcript.txt,Mike - transcript.txt,Simone - transcript.txt,Taylor - transcript.txt,Wallace - transcript.txt
● 1a-modality-offline,15,18,10,18,15,8,16,9,12
● 1b-modality-online_grad_school,1,1,0,2,0,2,1,2,4
● 1c-modality-social_media,9,12,12,8,15,12,9,11,14
● 2a-reasons-lack_of_resources,3,5,1,2,3,0,1,0,0
● 2b-reasons-school_resources_available,0,6,0,5,2,7,4,0,0
● 2c-reasons-teacher_capital,2,0,5,0,0,0,0,2,7
● 2d-reasons-change,7,10,1,2,5,0,2,0,4
● 2e-reasons-two_worlds_pitfall,0,2,0,7,6,0,3,0,0
● 2f-reasons-personal_professional_boundaries,2,2,4,4,4,2,4,2,2
● 2g-reasons-connecting,13,7,8,3,2,8,8,5,5
● 2h-reasons-planning,14,9,8,21,15,12,10,11,11
● 2i-reasons-enacting_practice,9,10,9,10,13,14,9,14,7
● 3a-supports-assigned_and_appreciated,6,2,4,11,5,4,10,8,3
● 3b-supports-assigned_but_unhelpful,0,9,0,1,7,1,2,0,1
● 3c-supports-latent,10,5,8,2,6,5,4,6,5
● 3d-supports-self_directed,9,8,6,14,11,13,10,9,19
● 4a-connections-in_school,9,11,14,13,13,4,16,8,10
● 4b-connections-out_of_school,13,14,9,15,12,15,9,12,17
● 5a-engagement-consumer,10,15,8,18,20,10,15,13,15
● 5b-engagement-vocationalist,10,3,9,6,5,8,8,7,9
