,●1a-modality-offline,●1b-modality-online_grad_school,●1c-modality-social_media
●2a-reasons-school_resources,11,4,2
●2b-reasons-change,10,0,1
●2c-reasons-personal_professional_boundaries,4,0,15
●2d-reasons-teacher_capital,3,0,16
●2e-reasons-two_worlds_pitfall,19,0,1
●2f-reasons-connecting,17,1,29
●2g-reasons-enacting_practice,26,5,6
●2h-reasons-observational_learning,18,0,8
●2i-reasons-planning,59,5,60
●3a-supports-assigned_an_appreciated,47,0,8
●3b-supports-assigned_but_unhelpful,22,1,1
●3c-supports-latent,14,0,42
●3d-supports-self_directed,29,12,57
●4a-relationships-in_school,72,0,11
●4b-relationships-out_of_school,22,12,67
●5a-engagement-info_consumer,21,6,53
●5b-engagement-self_seeking_contributor,42,3,16
●5c-engagement-vocationalist,31,3,21
