,Amelia - transcript.txt,Anne - transcript.txt,Blair - transcript.txt,Hallie - transcript.txt,Julie - transcript.txt,Mike - transcript.txt,Simone - transcript.txt,Taylor - transcript.txt,Wallace - transcript.txt
1A-availability of school resources,2,8,0,5,4,6,4,0,0
1A-change & disruption,8,8,1,1,6,0,0,0,5
1B-personal-professional boundaries,0,2,4,3,3,2,4,2,2
1B-teacher capital,4,1,7,3,1,2,1,1,9
1B-two worlds pitfall,0,4,0,9,7,0,2,0,0
1C-connecting,4,7,8,3,5,6,7,4,7
1C-enacting practice,6,5,1,7,7,5,6,7,2
1C-learning through observation,1,1,8,1,2,1,2,11,2
1C-planning,20,9,9,21,18,13,17,13,14
2A-assigned and appreciated,10,3,11,8,5,4,12,9,5
2B-assigned but unhelpful,0,9,0,2,5,2,4,1,2
2C-latent,9,6,10,2,9,5,2,7,4
2D-self-directed,9,7,7,18,13,10,12,8,16
3A-assigned in-school,12,7,9,10,8,2,11,7,5
3B-assigned out-of-school,3,3,0,3,0,0,1,1,1
3C-self-directed in-school,6,0,6,4,7,1,3,1,2
3D-self-directed out-of-school,7,10,9,11,11,14,10,10,9
4A-offline,17,9,12,18,13,7,17,9,6
4B-content sharing site,5,7,6,4,8,2,5,8,11
4B-discussion forum,2,4,2,2,1,5,3,0,5
4B-messenger,2,1,2,0,1,0,0,0,0
4B-social media (general),1,3,1,2,6,0,0,1,0
4B-social networking site,2,0,2,0,4,6,3,4,5
4C-online grad school,1,2,0,2,0,2,1,1,2
